timestamp,samples_per_sec,total_samples
2025-07-01T16:17:25+07:00,869781.60,183296100
2025-07-01T16:17:30+07:00,683797.80,186715089
2025-07-01T16:17:35+07:00,771906.40,190574621
2025-07-01T16:17:40+07:00,811637.80,194632810
2025-07-01T16:17:45+07:00,705133.80,198158479
2025-07-01T16:17:50+07:00,887379.20,202595375
2025-07-01T16:17:56+07:00,795501.20,206572881
2025-07-01T16:18:01+07:00,829751.80,210721640
2025-07-01T16:18:06+07:00,768352.20,214563401
2025-07-01T16:18:11+07:00,701090.40,218068853
2025-07-01T16:18:16+07:00,933397.20,222735839
2025-07-01T16:18:21+07:00,587898.80,225675333
2025-07-01T16:18:26+07:00,859265.80,229971662
2025-07-01T16:18:31+07:00,835813.00,234150727
2025-07-01T16:18:36+07:00,636509.60,237333275
2025-07-01T16:18:41+07:00,835192.40,241509237
2025-07-01T16:18:46+07:00,812311.80,245570796
2025-07-01T16:18:51+07:00,610918.00,248625386
2025-07-01T16:18:56+07:00,784990.40,252550338
2025-07-01T16:19:01+07:00,813216.40,256616420
2025-07-01T16:19:06+07:00,721618.40,260224512
2025-07-01T16:19:11+07:00,829425.80,264371641
2025-07-01T16:19:16+07:00,579393.00,267268606
2025-07-01T16:19:21+07:00,875990.80,271648560
2025-07-01T16:19:26+07:00,788251.80,275589819
2025-07-01T16:19:31+07:00,684663.20,279013135
2025-07-01T16:19:36+07:00,736133.60,282693803
2025-07-01T16:19:41+07:00,788200.80,286634807
2025-07-01T16:19:46+07:00,815273.00,290711172
2025-07-01T16:19:51+07:00,687158.60,294146965
2025-07-01T16:19:56+07:00,809424.40,298194087
2025-07-01T16:20:01+07:00,681392.40,301601049
2025-07-01T16:20:06+07:00,865634.60,305929222
2025-07-01T16:20:12+07:00,786199.40,309860219
2025-07-01T16:20:17+07:00,774507.20,313732755
2025-07-01T16:20:22+07:00,781201.20,317638761
2025-07-01T16:20:27+07:00,744622.00,321361871
2025-07-01T16:20:32+07:00,766466.60,325194204
2025-07-01T16:20:37+07:00,869236.00,329540384
2025-07-01T16:20:42+07:00,762993.00,333355349
2025-07-01T16:20:48+07:00,850385.60,337607277
2025-07-01T16:20:53+07:00,772215.00,341468352
2025-07-01T16:20:58+07:00,808641.20,345511558
2025-07-01T16:21:03+07:00,676105.60,348892086
2025-07-01T16:21:08+07:00,824611.00,353015141
2025-07-01T16:21:13+07:00,858857.40,357309428
2025-07-01T16:21:18+07:00,649047.00,360554663
2025-07-01T16:21:23+07:00,752568.20,364317504
2025-07-01T16:21:28+07:00,798068.00,368307844
2025-07-01T16:21:33+07:00,611680.40,371366246
2025-07-01T22:45:22+07:00,0.00,0
2025-07-01T22:45:27+07:00,0.00,0
2025-07-01T22:45:32+07:00,0.00,0
2025-07-01T22:45:37+07:00,0.00,0
2025-07-01T22:45:42+07:00,0.00,0
2025-07-01T22:45:47+07:00,0.00,0
2025-07-01T22:45:52+07:00,0.00,0
2025-07-01T22:45:57+07:00,0.00,0
2025-07-01T22:46:02+07:00,0.00,0
2025-07-01T22:46:08+07:00,0.00,0
2025-07-01T22:46:13+07:00,0.00,0
2025-07-01T22:46:18+07:00,0.00,0
2025-07-01T22:46:23+07:00,0.00,0
2025-07-01T22:46:28+07:00,304129.20,1520646
2025-07-01T22:46:33+07:00,1613911.00,9590201
2025-07-01T22:46:38+07:00,976525.20,14472827
2025-07-01T22:46:43+07:00,1220620.20,20575928
2025-07-01T22:46:48+07:00,1344067.60,27296266
2025-07-01T22:46:53+07:00,1024970.20,32421117
2025-07-01T22:46:59+07:00,1294883.80,38895536
2025-07-01T22:47:04+07:00,1106746.60,44429269
2025-07-01T22:47:09+07:00,1062385.40,49741196
2025-07-01T22:47:14+07:00,767851.00,53580451
2025-07-01T22:47:19+07:00,1136783.00,59264366
2025-07-01T22:47:24+07:00,877937.00,63654051
2025-07-01T22:47:29+07:00,942764.80,68367875
2025-07-01T22:47:34+07:00,1022897.40,73482362
2025-07-01T22:47:39+07:00,858513.20,77774928
2025-07-01T22:47:44+07:00,1012938.00,82839618
2025-07-01T22:47:49+07:00,959430.80,87636772
2025-07-01T22:47:54+07:00,912966.00,92201602
2025-07-01T22:47:59+07:00,997127.00,97187237
2025-07-01T22:48:04+07:00,1006443.40,102219454
2025-07-01T22:48:09+07:00,1067416.00,107556534
2025-07-01T22:48:14+07:00,951121.00,112312139
2025-07-01T22:48:19+07:00,995165.00,117287964
2025-07-01T22:48:24+07:00,1009071.00,122333319
2025-07-01T22:48:29+07:00,1054379.60,127605217
2025-07-01T22:48:35+07:00,963724.80,132423841
2025-07-01T22:48:40+07:00,1128352.80,138065605
2025-07-01T22:48:45+07:00,908883.80,142610024
2025-07-01T22:48:50+07:00,943442.20,147327235
2025-07-01T22:48:56+07:00,1327722.60,153965848
2025-07-01T22:49:01+07:00,907877.40,158505235
2025-07-01T22:49:06+07:00,1120115.60,164105813
2025-07-01T22:49:12+07:00,1017425.40,169192940
2025-07-01T22:49:17+07:00,1042748.00,174406680
2025-07-01T22:49:22+07:00,873093.80,178772149
2025-07-01T22:49:27+07:00,1153642.00,184540359
2025-07-01T22:49:32+07:00,875194.40,188916331
2025-07-01T22:49:38+07:00,1099799.00,194415326
2025-07-01T22:49:43+07:00,954379.40,199187223
2025-07-01T22:49:48+07:00,1041917.00,204396808
2025-07-01T22:49:53+07:00,1068889.00,209741253
2025-07-01T22:49:58+07:00,953106.60,214506786
2025-07-01T22:50:03+07:00,1087563.20,219944602
2025-07-01T22:50:08+07:00,876326.00,224326232
2025-07-01T22:50:13+07:00,1159556.20,230124013
2025-07-01T22:50:18+07:00,851199.80,234380012
2025-07-01T22:50:23+07:00,1061616.20,239688093
2025-07-01T22:50:28+07:00,885366.40,244114925
2025-07-01T22:50:34+07:00,1139929.20,249814571
2025-07-01T22:50:39+07:00,1030366.20,254966402
2025-07-01T22:50:44+07:00,1031483.00,260123817
2025-07-01T22:50:49+07:00,1023149.20,265239563
2025-07-01T22:50:54+07:00,946993.00,269974528
2025-07-01T22:50:59+07:00,946900.40,274709030
2025-07-01T22:51:04+07:00,1055239.80,279985229
2025-07-01T22:51:09+07:00,910572.80,284538093
2025-07-01T22:51:15+07:00,1050861.20,289792399
2025-07-01T22:51:20+07:00,929418.60,294439492
2025-07-01T22:51:25+07:00,1073988.80,299809436
2025-07-01T22:51:30+07:00,949986.20,304559367
2025-07-01T22:51:35+07:00,1032869.80,309723716
2025-07-01T22:51:40+07:00,988929.20,314668362
2025-07-01T22:51:45+07:00,1053057.80,319933651
2025-07-01T22:51:50+07:00,1022558.60,325046444
2025-07-01T22:51:55+07:00,1025280.80,330172848
2025-07-01T22:52:00+07:00,1000415.00,335174923
2025-07-01T22:52:05+07:00,946228.80,339906067
2025-07-01T22:52:10+07:00,1106210.00,345437117
2025-07-01T22:52:16+07:00,854171.40,349707974
