Sample_Size,Quantile,Sum,Average
10.0,,,0.070779859
10.0,,,0.100383603
10.0,,,0.065695677
10.0,,,0.069933165
10.0,,,0.09683206
10.0,,,0.076819314
10.0,,,0.08607696
10.0,,,0.08406126
10.0,,,0.095251596
10.0,,,0.083584882
