Sample_Size,Evaluation_Time
1000000.0,14.240014224
1000000.0,14.433334892
1000000.0,14.537005795
1000000.0,14.596339206
1000000.0,15.463173719
1000000.0,14.323760103
1000000.0,15.373585362
1000000.0,14.062547892
1000000.0,14.873794183
1000000.0,14.00512935
